A1475,"['bestBuy', 303L, 'amazon', 541L]"
P916BL,"['bestBuy', 114L]"
EGQ178BL,"['bestBuy', 20L]"
MF074LL/A,"['bestBuy', 285L]"
Elite x2 1012 G1,"['bestBuy', 201L, 'bestBuy', 206L]"
ME8QIBP16GBPRP,"['amazon', 354L]"
Lenovo Yoga Tab 3 8 - ZA090008US,"['amazon', 232L]"
ME8QIBP16GBMAG,"['amazon', 413L]"
MH312LL/A,"['amazon', 518L]"
P916BK,"['bestBuy', 43L]"
ML2M2CL/A,"['bestBuy', 148L]"
SM-T113NDWACCC,"['amazon', 398L]"
7G6-00001,"['amazon', 131L]"
MPA42CL/A,"['bestBuy', 239L]"
ML2L2CL/A,"['bestBuy', 269L]"
NABI2-NV7A,"['amazon', 425L]"
Z170C-A1-BK,"['amazon', 25L]"
MK762CL/A,"['bestBuy', 143L]"
MK9N2CL/A,"['bestBuy', 162L]"
Dell Inspiron,"['amazon', 482L]"
TAN,"['amazon', 3L]"
60705001,"['amazon', 178L]"
SM-P580,"['amazon', 304L, 'amazon', 311L]"
Z300C-A1-BK,"['amazon', 383L]"
MLQ72LL/A,"['bestBuy', 126L]"
HZ-W19 8GB256GB,"['bestBuy', 3L]"
SM-T280NZWAXAC,"['bestBuy', 172L, 'amazon', 19L]"
SBX3,"['bestBuy', 286L]"
5.05754E+12,"['amazon', 305L, 'amazon', 558L]"
MD531C/A,"['amazon', 370L]"
ML0Q2LL/A,"['bestBuy', 251L]"
SM-T280NZWAXAR,"['amazon', 76L]"
MQEF2CL/A,"['bestBuy', 130L]"
BTV-W09,"['amazon', 474L]"
SM-T713NZDEXAC,"['bestBuy', 97L]"
MNV22LL/A,"['amazon', 560L]"
MLPX2CL/A,"['bestBuy', 265L]"
FX-960,"['amazon', 457L]"
DQQ-00001,"['amazon', 148L]"
MGGX2CL/A,"['amazon', 393L]"
P916PSY,"['bestBuy', 124L]"
Surface Pro 4,"['bestBuy', 217L]"
FJS-00001,"['bestBuy', 188L]"
FGJ-00001,"['bestBuy', 260L]"
MP2J2CL/A,"['bestBuy', 54L]"
TZ5-00001,"['bestBuy', 81L]"
TZ5-00002,"['bestBuy', 86L]"
FGG-00001,"['bestBuy', 88L]"
mt-t900,"['amazon', 462L]"
VKB001B,"['amazon', 563L]"
80SG001FUS,"['amazon', 89L]"
EGQ223SKPR,"['bestBuy', 65L]"
fx970,"['amazon', 300L]"
FX-23,"['amazon', 135L, 'amazon', 184L]"
ML3N2LL/A,"['bestBuy', 289L]"
SM-T560NZWUXAC,"['bestBuy', 62L]"
20FY0002US,"['amazon', 331L]"
T8Z07UTABA,"['bestBuy', 120L]"
EGQ223SKBU,"['bestBuy', 50L]"
P3W-00001,"['amazon', 121L]"
MC769LL/A,"['bestBuy', 87L]"
EGQ223SKBL,"['bestBuy', 179L]"
MLMP2LL/A,"['bestBuy', 111L]"
UM.HV6AA.001,"['amazon', 522L]"
T1-701w,"['amazon', 366L]"
T102HA-D4-GR,"['amazon', 5L]"
ML0Q2CL/A,"['bestBuy', 243L]"
107,"['amazon', 420L]"
MP6G2CL/A,"['bestBuy', 147L]"
MB292LL/A,"['bestBuy', 53L]"
T8Z05UTABA,"['bestBuy', 270L]"
GOLE1,"['amazon', 204L]"
59407939,"['amazon', 281L]"
FGK-00001,"['bestBuy', 150L]"
RNB-NT.LBRAA.002,"['bestBuy', 194L]"
MD367LL/A,"['bestBuy', 69L]"
S8,"['amazon', 134L, 'amazon', 320L]"
TP201SA-DB01T,"['amazon', 12L]"
MK8F2LL/A,"['bestBuy', 106L]"
S7,"['amazon', 106L]"
CB5-571-C4T3,"['amazon', 501L]"
PRD-38548-003,"['amazon', 158L]"
VTA08900IM16,"['amazon', 291L]"
PRD-38548-007,"['amazon', 444L]"
Remix Mini 2G US,"['amazon', 116L]"
ME860LL/A,"['bestBuy', 171L]"
MH1J2CL/A,"['bestBuy', 209L]"
SM-T530NZWAXAR,"['amazon', 310L]"
TM800W560L,"['amazon', 486L]"
MB294LL/A,"['amazon', 528L]"
SM-T560NZKU,"['amazon', 84L]"
NT.LCKAA.001,"['bestBuy', 263L]"
ML0N2CL/A,"['bestBuy', 225L]"
MK892LL/A,"['bestBuy', 211L]"
NT.L9YAA.001,"['amazon', 299L]"
KAA203W,"['amazon', 555L]"
20FQ000RUS,"['amazon', 285L]"
ZA0X0018US,"['bestBuy', 64L, 'amazon', 470L]"
ST8600,"['amazon', 435L]"
ML0N2LL/A,"['bestBuy', 145L, 'bestBuy', 295L]"
B1-780-K6C3,"['bestBuy', 153L]"
10DTB38-64GB,"['amazon', 498L]"
MLMY2CL/A,"['bestBuy', 8L]"
E2281,"['amazon', 416L]"
FKH-00001,"['bestBuy', 187L]"
MM192CL/A,"['bestBuy', 210L, 'bestBuy', 237L]"
TRIO 4.3 MID 4.0C,"['amazon', 223L]"
Chuwi HI12 Tablet PC,"['amazon', 451L]"
7 inch tablet,"['amazon', 271L]"
XE700T1A-A06US,"['amazon', 500L]"
SM-T800NTSAXAR,"['amazon', 345L]"
MQF02CL/A,"['bestBuy', 73L]"
ZA090094US,"['bestBuy', 92L]"
k08,"['amazon', 56L]"
RCT6773W22,"['bestBuy', 23L]"
MK782CL/A,"['bestBuy', 80L]"
NBKLEA525,"['amazon', 561L]"
